id,price,bedrooms,Bathrooms,Sqft living,Floors,Waterfront,View,Condition,Grade,lat,long,neighborhood_name,Recommendation
2424059170,900000.0,5,6.0,7120,2.0,0,4,3,12,47.5451,-122.11399999999999,"Mercer Island, Renton & Bellevue South",8.45
2626069030,1940000.0,4,6.0,7220,2.0,0,4,3,12,47.7097,-122.01299999999999,Union Hill & Sammamish,8.43
6169901185,490000.0,5,4.0,4460,3.0,0,2,3,10,47.6313,-122.37,Seattle North,8.27
3613600150,300523.0,3,2.0,2370,2.0,0,0,3,9,47.6503,-122.366,Seattle North,8.13
2734100734,216650.0,3,4.0,1540,2.0,0,0,3,7,47.542,-122.322,Seattle South,8.06
2734100732,216650.0,3,4.0,1480,2.0,0,0,3,7,47.5421,-122.322,Seattle South,8.05
7942601475,345600.0,5,4.0,2800,2.5,0,0,3,9,47.6059,-122.31,Seattle South,8.0
5016003230,169317.0,2,1.0,790,1.0,0,2,3,7,47.6248,-122.301,Seattle North,7.96
1832100030,597326.0,4,4.0,3570,2.0,0,0,3,10,47.5784,-122.226,"Mercer Island, Renton & Bellevue South",7.92
922059169,800000.0,6,4.0,5480,2.0,0,0,4,10,47.412,-122.16799999999999,Kent & North Auburn,7.89
3501100050,125000.0,3,1.0,1230,1.5,0,0,1,6,47.6941,-122.365,Seattle North,7.89
1238500451,130000.0,3,1.0,1110,1.0,0,0,4,7,47.683,-122.176,"Redmond, Woodinville & Bellevue North",7.88
9828701565,375000.0,3,2.0,2240,1.0,0,0,3,7,47.6191,-122.296,Seattle North,7.87
5016002275,610000.0,5,2.0,3990,1.0,0,0,4,8,47.6236,-122.29899999999999,Seattle North,7.83
5647900650,500000.0,5,3.0,3720,2.0,0,4,3,9,47.3296,-122.256,Des Moines & Federal Way,7.8
2425700022,425000.0,4,2.0,1730,1.0,0,0,2,7,47.5979,-122.194,"Mercer Island, Renton & Bellevue South",7.79
7631800110,380000.0,3,2.0,1980,2.0,1,4,3,10,47.4551,-122.37299999999999,Seattle South,7.78
9272202260,130000.0,3,1.0,1200,2.0,0,0,1,7,47.5883,-122.384,Seattle South,7.78
9126101740,490000.0,8,5.0,2800,2.0,0,0,3,8,47.6086,-122.303,Seattle South,7.77
2349300060,200000.0,4,2.0,1920,1.0,0,0,2,6,47.5507,-122.381,Seattle South,7.77
3530210260,274975.0,3,2.0,3030,2.0,0,0,3,9,47.7721,-122.09299999999999,"Redmond, Woodinville & Bellevue North",7.75
324000530,201500.0,3,1.0,1320,1.5,0,0,3,7,47.5711,-122.38600000000001,Seattle South,7.71
9808590210,860000.0,4,2.0,3560,1.0,0,2,3,10,47.6456,-122.19,"Redmond, Woodinville & Bellevue North",7.7
5637200450,257000.0,5,3.0,2930,2.0,0,0,3,9,47.4887,-122.145,"Mercer Island, Renton & Bellevue South",7.69
1049010620,90000.0,2,1.0,790,1.0,0,0,3,7,47.7351,-122.178,"Redmond, Woodinville & Bellevue North",7.69
9169600275,280000.0,2,1.0,2280,2.0,0,0,3,7,47.525,-122.389,Seattle South,7.69
5015001680,427000.0,4,1.0,1860,1.5,0,0,1,7,47.6251,-122.3,Seattle North,7.68
9808610410,640000.0,4,2.0,2320,2.0,0,0,3,9,47.6443,-122.194,"Redmond, Woodinville & Bellevue North",7.68
3667500015,770000.0,4,4.0,3680,2.5,0,0,3,9,47.6192,-122.307,Seattle North,7.68
2902200015,700000.0,9,3.0,3680,2.0,0,0,3,7,47.6374,-122.324,Seattle North,7.68
3080000005,181000.0,2,1.0,1310,1.0,0,0,3,7,47.5798,-122.306,Seattle South,7.67
9232900050,300000.0,2,2.0,2120,1.0,0,0,4,6,47.6974,-122.35600000000001,Seattle North,7.67
5152700060,465000.0,6,3.0,4250,1.0,0,3,3,10,47.34,-122.32700000000001,Des Moines & Federal Way,7.67
7905200230,330000.0,3,2.0,2170,1.0,0,0,5,7,47.571000000000005,-122.391,Seattle South,7.66
3253500160,317625.0,3,3.0,2770,1.5,0,0,5,7,47.5747,-122.304,Seattle South,7.66
